Date,Open,High,Low,Close,Adj Close,Volume
2019-12-03,2.632500,2.636000,2.605000,2.608000,2.608000,1856
2019-12-04,2.615000,2.650000,2.610500,2.644000,2.644000,655
2019-12-05,2.640500,2.660000,2.640500,2.648500,2.648500,354
2019-12-06,2.666500,2.736500,2.653000,2.711000,2.711000,718
2019-12-08,null,null,null,null,null,null
2019-12-09,2.716500,2.748000,2.713000,2.746500,2.746500,988
2019-12-10,2.750000,2.757000,2.746000,2.755500,2.755500,667
2019-12-11,2.750000,2.790000,2.749000,2.782500,2.782500,791
2019-12-12,2.784000,2.807500,2.760500,2.789500,2.789500,396
2019-12-13,2.815000,2.820000,2.762000,2.780500,2.780500,711
2019-12-15,null,null,null,null,null,null
2019-12-16,2.796500,2.820500,2.796500,2.820500,2.820500,905
2019-12-17,2.814500,2.822500,2.812000,2.819500,2.819500,524
2019-12-18,2.804000,2.819000,2.797000,2.817000,2.817000,472
2019-12-19,2.820000,2.831500,2.816000,2.831500,2.831500,446
2019-12-20,2.831500,2.831500,2.803000,2.811000,2.811000,643
2019-12-22,null,null,null,null,null,null
2019-12-23,2.805000,2.823500,2.805000,2.817000,2.817000,793
2019-12-24,null,null,null,null,null,null
2019-12-26,2.854500,2.867000,2.854500,2.864500,2.864500,451
2019-12-27,2.855000,2.855000,2.820000,2.836500,2.836500,638
2019-12-29,null,null,null,null,null,null
2019-12-30,2.831000,2.833500,2.814500,2.827500,2.827500,1476
2019-12-31,2.804000,2.804000,2.794000,2.794000,2.794000,420
2020-01-02,2.816500,2.833000,2.794500,2.833000,2.833000,1182
2020-01-03,2.793500,2.798500,2.789500,2.798500,2.798500,321
2020-01-05,2.765000,2.777500,2.765000,2.770000,2.770000,76500
2020-01-06,2.778000,2.800500,2.778000,2.800500,2.800500,333
2020-01-07,2.801000,2.807000,2.801000,2.804000,2.804000,261
2020-01-08,2.787000,2.819000,2.780500,2.819000,2.819000,394
2020-01-09,2.825500,2.825500,2.801000,2.810500,2.810500,208
2020-01-10,2.810000,2.826000,2.801500,2.818500,2.818500,364
2020-01-12,2.805500,2.815500,2.805500,2.813000,2.813000,32704
2020-01-13,2.862000,2.862000,2.855500,2.861500,2.861500,247
2020-01-14,2.857500,2.876000,2.857500,2.876000,2.876000,292
2020-01-15,2.861000,2.870000,2.848500,2.870000,2.870000,288
2020-01-16,2.854500,2.855500,2.846000,2.852000,2.852000,237
2020-01-17,2.857000,2.857500,2.849500,2.849500,2.849500,298
2020-01-19,2.847000,2.851000,2.845500,2.850000,2.850000,17865
2020-01-21,2.809000,2.813500,2.798500,2.798500,2.798500,401
2020-01-22,2.800500,2.803000,2.767000,2.767000,2.767000,309
2020-01-23,2.758000,2.758000,2.718500,2.726000,2.726000,291
2020-01-24,2.723000,2.723000,2.679000,2.685500,2.685500,359
2020-01-26,2.667500,2.673000,2.632500,2.633500,2.633500,170033
2020-01-27,2.596500,2.596500,2.596500,2.596500,2.596500,462
2020-01-28,2.584000,2.591500,2.579500,2.579500,2.579500,381
2020-01-29,2.586000,2.586000,2.553500,2.553500,2.553500,727
2020-01-30,2.564000,2.564500,2.523500,2.523500,2.523500,830
2020-01-31,2.528000,2.530000,2.509000,2.520000,2.520000,511
2020-02-02,2.490000,2.518500,2.487500,2.515500,2.515500,136650
2020-02-03,2.523000,2.523000,2.508500,2.513000,2.513000,860
2020-02-04,2.552000,2.565500,2.541000,2.547500,2.547500,265
2020-02-05,2.563500,2.589500,2.563500,2.579000,2.579000,240
2020-02-06,2.590000,2.604000,2.590000,2.598500,2.598500,306
2020-02-07,2.561000,2.563000,2.555000,2.559000,2.559000,236
2020-02-09,2.550000,2.554000,2.540000,2.544000,2.544000,109351
2020-02-10,2.551000,2.566500,2.551000,2.557500,2.557500,386
2020-02-11,2.587500,2.588500,2.587500,2.588500,2.588500,212
2020-02-12,2.607000,2.607500,2.604500,2.606000,2.606000,242
2020-02-13,2.620000,2.620000,2.619500,2.619500,2.619500,234
2020-02-14,2.609000,2.610500,2.605500,2.605500,2.605500,216
2020-02-16,2.604000,2.610000,2.603000,2.607000,2.607000,76339
2020-02-18,2.629500,2.630000,2.607500,2.610000,2.610000,408
2020-02-19,2.613500,2.613500,2.598000,2.612500,2.612500,235
2020-02-20,2.594500,2.595000,2.594500,2.595000,2.595000,386
2020-02-21,2.599500,2.618000,2.599500,2.618000,2.618000,506
2020-02-23,2.591500,2.592000,2.565000,2.574000,2.574000,171771
2020-02-24,2.605000,2.605000,2.583500,2.592500,2.592500,379
2020-02-25,2.594500,2.596500,2.594500,2.596500,2.596500,414
2020-02-26,2.582000,2.582500,2.576500,2.576500,2.576500,65062
2020-02-27,2.565500,2.581000,2.522000,2.571500,2.571500,14714
2020-02-28,2.557500,2.567000,2.514000,2.546000,2.546000,2580
2020-03-01,2.522000,2.537000,2.501000,2.524500,2.524500,164128
2020-03-02,2.536000,2.618500,2.514500,2.601000,2.601000,1295
2020-03-03,2.620000,2.630000,2.561500,2.579500,2.579500,1145
2020-03-04,2.585000,2.602000,2.577000,2.593000,2.593000,489
2020-03-05,2.588000,2.593500,2.573000,2.582500,2.582500,491
2020-03-06,2.579000,2.579000,2.546500,2.573000,2.573000,638
2020-03-08,2.535000,2.542000,2.463000,2.481000,2.481000,972851
2020-03-09,2.542000,2.542000,2.479500,2.524000,2.524000,816
2020-03-10,2.498500,2.563000,2.498500,2.534000,2.534000,685
2020-03-11,2.550000,2.550000,2.488000,2.512000,2.512000,654
2020-03-12,2.491000,2.491000,2.439000,2.481000,2.481000,985
2020-03-13,2.455000,2.534500,2.430000,2.474000,2.474000,803
2020-03-15,2.510000,2.515500,2.413500,2.437500,2.437500,432195
2020-03-16,2.455000,2.460000,2.364000,2.398500,2.398500,516
2020-03-17,2.417000,2.417000,2.309000,2.315500,2.315500,582
2020-03-18,2.316000,2.322500,2.122000,2.160500,2.160500,480
2020-03-19,2.161500,2.200000,2.059500,2.200000,2.200000,470
2020-03-20,2.162000,2.241000,2.120000,2.190500,2.190500,406
2020-03-22,2.146500,2.146500,2.055000,2.076000,2.076000,412411
2020-03-23,2.113500,2.125500,2.105000,2.119500,2.119500,375
2020-03-24,2.151000,2.231500,2.151000,2.197500,2.197500,448
2020-03-25,2.208500,2.234000,2.174500,2.234000,2.234000,719
2020-03-26,2.190000,2.218000,2.190000,2.208000,2.208000,484
2020-03-27,2.190000,2.197000,2.190000,2.197000,2.197000,906
2020-03-29,2.146500,2.157500,2.135500,2.152500,2.152500,191197
2020-03-30,2.162500,2.172000,2.158500,2.162000,2.162000,352
2020-03-31,2.177500,2.250000,2.176000,2.240000,2.240000,514
2020-04-01,2.220000,2.220000,2.178500,2.192000,2.192000,432
2020-04-02,2.190000,2.234000,2.190000,2.233000,2.233000,377
2020-04-03,2.222500,2.223000,2.205000,2.210000,2.210000,375
2020-04-05,null,null,null,null,null,null
2020-04-06,2.213000,2.239000,2.213000,2.235000,2.235000,296
2020-04-07,2.290000,2.325000,2.288500,2.288500,2.288500,422
2020-04-08,2.270500,2.278000,2.270500,2.278000,2.278000,340
2020-04-09,2.283500,2.283500,2.270000,2.277500,2.277500,429
2020-04-12,2.300500,2.305000,2.263500,2.280000,2.280000,335292
2020-04-13,2.336500,2.357000,2.320500,2.320500,2.320500,350
2020-04-14,2.334500,2.352000,2.326000,2.347000,2.347000,437
2020-04-15,2.310000,2.314500,2.297500,2.312500,2.312500,425
2020-04-16,2.325000,2.325000,2.304500,2.304500,2.304500,240
2020-04-17,2.347500,2.359000,2.347000,2.353500,2.353500,302
2020-04-19,2.343000,2.343500,2.335500,2.335500,2.335500,71136
2020-04-20,2.348000,2.348000,2.325500,2.334500,2.334500,414
2020-04-21,2.314500,2.314500,2.214500,2.267000,2.267000,328
2020-04-22,2.287500,2.317500,2.287500,2.317500,2.317500,312
2020-04-23,2.321000,2.324000,2.313000,2.324000,2.324000,341
2020-04-24,2.325000,2.348000,2.324000,2.348000,2.348000,589
2020-04-26,2.355000,2.357500,2.349000,2.350000,2.350000,67030
2020-04-27,2.343000,2.382000,2.326500,2.382000,2.382000,731
2020-04-28,2.379000,2.379000,2.379000,2.379000,2.379000,26351
2020-04-29,2.344000,2.395500,2.334000,2.374500,2.374500,3211
2020-04-30,2.386500,2.408000,2.344500,2.354000,2.354000,1086
2020-05-01,2.347000,2.347000,2.297500,2.318500,2.318500,702
2020-05-03,2.305000,2.305000,2.291000,2.295000,2.295000,113964
2020-05-04,2.306500,2.327000,2.289500,2.324000,2.324000,602
2020-05-05,2.337000,2.341500,2.318000,2.341000,2.341000,412
2020-05-06,2.340000,2.371000,2.335000,2.352500,2.352500,689
2020-05-07,2.340500,2.390500,2.340500,2.385500,2.385500,544
2020-05-08,2.402500,2.422500,2.399000,2.408500,2.408500,625
2020-05-10,2.409500,2.420000,2.402000,2.419500,2.419500,70222
2020-05-11,2.409000,2.427500,2.373000,2.382000,2.382000,405
2020-05-12,2.380000,2.384500,2.335000,2.360500,2.360500,464
2020-05-13,2.349500,2.374000,2.349000,2.349000,2.349000,355
2020-05-14,2.357000,2.357000,2.324000,2.351000,2.351000,340
2020-05-15,2.356000,2.356000,2.332000,2.333500,2.333500,311
2020-05-17,2.337500,2.352500,2.334000,2.349500,2.349500,107388
2020-05-18,2.365500,2.426000,2.365000,2.405000,2.405000,449
2020-05-19,2.432000,2.432000,2.410500,2.423000,2.423000,531
2020-05-20,2.410000,2.470000,2.410000,2.467500,2.467500,435
2020-05-21,2.468000,2.468000,2.446500,2.452000,2.452000,432
2020-05-22,2.392500,2.413000,2.390000,2.409000,2.409000,383
2020-05-24,2.397500,2.398000,2.394500,2.398000,2.398000,28588
2020-05-26,2.402500,2.456500,2.402500,2.438500,2.438500,450
2020-05-27,2.420500,2.420500,2.375500,2.402500,2.402500,349
2020-05-28,2.385000,2.421000,2.385000,2.413000,2.413000,628
2020-05-29,2.407000,2.447000,2.407000,2.426500,2.426500,260
2020-05-31,2.430000,2.441000,2.423500,2.436000,2.436000,148809
2020-06-01,2.431500,2.478500,2.431500,2.474500,2.474500,598
2020-06-02,2.479000,2.499000,2.471000,2.494500,2.494500,326
2020-06-03,2.496500,2.496500,2.492500,2.496500,2.496500,179
2020-06-04,2.495500,2.495500,2.492500,2.493000,2.493000,379
2020-06-05,2.551000,2.557000,2.551000,2.557000,2.557000,416
2020-06-07,2.543000,2.552500,2.539000,2.550500,2.550500,92756
2020-06-08,2.545000,2.570000,2.538500,2.570000,2.570000,247
2020-06-09,2.592500,2.601000,2.590500,2.600500,2.600500,508
2020-06-10,2.657500,2.661000,2.653000,2.657000,2.657000,351
2020-06-11,2.674500,2.675500,2.586500,2.586500,2.586500,352
2020-06-12,2.598000,2.603500,2.598000,2.601500,2.601500,479
2020-06-14,2.591000,2.601500,2.581000,2.595000,2.595000,148396
2020-06-15,2.567000,2.568500,2.551000,2.568500,2.568500,334
2020-06-16,2.589000,2.598500,2.558500,2.566000,2.566000,345
2020-06-17,2.570000,2.592000,2.570000,2.592000,2.592000,307
2020-06-18,2.612000,2.612000,2.591000,2.591000,2.591000,299
2020-06-19,2.643000,2.643000,2.610500,2.615000,2.615000,217
2020-06-21,2.601500,2.611500,2.595000,2.610000,2.610000,119065
2020-06-22,2.649500,2.655500,2.649500,2.655500,2.655500,410
2020-06-23,2.650000,2.660000,2.650000,2.660000,2.660000,288
2020-06-24,2.650500,2.650500,2.650500,2.650500,2.650500,791
2020-06-25,2.638000,2.662500,2.638000,2.662500,2.662500,283
2020-06-26,2.661000,2.672000,2.661000,2.672000,2.672000,32639
2020-06-28,2.670000,2.679000,2.650500,2.663500,2.663500,100430
2020-06-29,2.650500,2.687500,2.650500,2.679500,2.679500,8912
